2024-08-31 12:21:02.290 | DEBUG    | __main__:process_text:34 - Processing with punctuation_rules_comma_agent
2024-08-31 12:21:02.290 | DEBUG    | chatgpt_models.assistants.base:process_paragraphs:87 - Total Jobs: 43
2024-08-31 12:21:02.290 | DEBUG    | chatgpt_models.assistants.base:process_paragraphs:88 - BEGINNING punctuation_rules_comma_agent AGENT: None
2024-08-31 12:21:08.997 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:09.962 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:13.035 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:23.625 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:24.282 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:28.402 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:37.877 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:40.000 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:45.550 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:49.163 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:54.771 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:55.783 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:21:59.352 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:22:02.522 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:22:04.378 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:22:06.053 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:22:21.307 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:22:22.164 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:22:40.788 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:22:44.480 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:22:47.233 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:04.053 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:06.367 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:09.320 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:09.636 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:18.174 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:28.068 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:29.229 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:30.265 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:31.059 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:44.795 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:50.784 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:57.460 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:23:59.304 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:24:03.040 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
2024-08-31 12:24:06.117 | DEBUG    | chatgpt_models.assistants.base:clean_sentences:79 - job completed...
